X,Y,id,schoolname,score,num_fixtures,zip
-87.625849,41.796122,1,Ace Tech Hs,0.0,17.0,60609
-87.532976,41.698739,2,Addams,0.005882352941176471,17.0,60617
-87.656229,41.934126,3,Agassiz,0.0,8.0,60657
-87.632757,41.828145,4,Air Force Hs,0.0,18.0,60609
-87.646413,41.92985,5,Alcott,0.0,16.0,60614
-87.680562,41.935795,6,Alcott Hs,0.0,11.0,60618
-87.606474,41.657405,7,Aldridge,0.0,17.0,60827
-87.679484,41.975067,8,Amundsen Hs,0.0,37.0,60625
-87.597503,41.811173,9,Ariel,0.0,28.0,60653
-87.650653,41.833854,10,Armour,0.0,26.0,60608
-87.684442,42.01015,11,Armstrong,0.0,23.0,60645
-87.70961,41.742351,12,Ashburn,0.0,12.0,60652
-87.601174,41.740184,13,Ashe,0.0,13.0,60619
-87.721825,41.966406,14,Aspira - Haugan,0.0,22.0,60625
-87.681041,41.945062,15,Audubon,0.061538461538461535,13.0,60618
-87.591654,41.748247,16,Avalon Park,0.0,15.0,60619
-87.73992,41.771079,17,Azuela,0.0,30.0,60629
-87.677541,41.808413,18,Back Of The Yards Hs,0.0,29.0,60609
-87.658074,41.705131,19,Barnard,0.0,9.0,60643
-87.739388,41.932511,20,Barry,0.0,12.0,60641
-87.670927,41.754194,21,Barton,0.0,6.0,60620
-87.653532,41.774246,22,Bass,0.0,15.0,60621
-87.702151,41.95822,23,Bateman,0.0,27.0,60618
-87.78963,41.970125,24,Beard,0.0,12.0,60656
-87.625692,41.798465,25,Beasley,0.06470588235294117,34.0,60615
-87.757565,41.972394,26,Beaubien,0.05714285714285715,14.0,60630
